scope_kind,scope_key,level,duration_ms,share,window_start,window_end
cells,main,0,83018700000,0.8759020814342146,1689292800000,1784073600000
cells,main,1,9783780000,0.10322533677706877,1689292800000,1784073600000
cells,main,2,1573680000,0.01660336270637091,1689292800000,1784073600000
cells,main,3,350160000,0.003694419122860326,1689292800000,1784073600000
cells,main,4,49080000,0.0005178263952192849,1689292800000,1784073600000
cells,main,5,3720000,3.9248455383368785e-05,1689292800000,1784073600000
cells,main,6,1320000,1.3926871265066343e-05,1689292800000,1784073600000
cells,main,7,360000,3.798237617745366e-06,1689292800000,1784073600000
cells,all_tf,0,71094300000,0.7500917907424288,1689292800000,1784073600000
cells,all_tf,1,17586480000,0.1855489719436848,1689292800000,1784073600000
cells,all_tf,2,4782180000,0.05045515547452649,1689292800000,1784073600000
cells,all_tf,3,1009380000,0.01064962524055505,1689292800000,1784073600000
cells,all_tf,4,255180000,0.002692317431378507,1689292800000,1784073600000
cells,all_tf,5,43260000,0.0004564215537324015,1689292800000,1784073600000
cells,all_tf,6,9540000,0.0001006532968702522,1689292800000,1784073600000
cells,all_tf,7,480000,5.064316823660488e-06,1689292800000,1784073600000
cells_tf,15m,0,89167140000,0.9407721817076876,1689292800000,1784073600000
cells_tf,15m,1,5104200000,0.05385267902359971,1689292800000,1784073600000
cells_tf,15m,2,473160000,0.004992150308923326,1689292800000,1784073600000
cells_tf,15m,3,34680000,0.00036589689050947025,1689292800000,1784073600000
cells_tf,15m,4,1620000,1.7092069279854147e-05,1689292800000,1784073600000
cells_tf,1h,0,87625920000,0.9245112934265167,1689292800000,1784073600000
cells_tf,1h,1,6378240000,0.06729464195280056,1689292800000,1784073600000
cells_tf,1h,2,675000000,0.0071216955332725615,1689292800000,1784073600000
cells_tf,1h,3,88860000,0.0009375316519801478,1689292800000,1784073600000
cells_tf,1h,4,12780000,0.0001348374354299605,1689292800000,1784073600000
cells_tf,4h,0,85620960000,0.9033576420540869,1689292800000,1784073600000
cells_tf,4h,1,8083380000,0.0852849944292515,1689292800000,1784073600000
cells_tf,4h,2,1045860000,0.011034513319153246,1689292800000,1784073600000
cells_tf,4h,3,29880000,0.0003152537222728654,1689292800000,1784073600000
cells_tf,4h,4,720000,7.596475235490732e-06,1689292800000,1784073600000
cells_tf,1d,0,88210080000,0.9306745670009116,1689292800000,1784073600000
cells_tf,1d,1,6196680000,0.06537906411425098,1689292800000,1784073600000
cells_tf,1d,2,316800000,0.003342449103615922,1689292800000,1784073600000
cells_tf,1d,3,57240000,0.0006039197812215132,1689292800000,1784073600000
symbols,main,0,83018700000,0.8759020814342146,1689292800000,1784073600000
symbols,main,1,10135080000,0.10693178365238529,1689292800000,1784073600000
symbols,main,2,1406760000,0.014842246530942975,1689292800000,1784073600000
symbols,main,3,196500000,0.002073204699686012,1689292800000,1784073600000
symbols,main,4,23400000,0.0002468854451534488,1689292800000,1784073600000
symbols,main,5,360000,3.798237617745366e-06,1689292800000,1784073600000
symbols_multi_tf,main,0,94219080000,0.9940734832371113,1689292800000,1784073600000
symbols_multi_tf,main,1,549960000,0.005802441000709004,1689292800000,1784073600000
symbols_multi_tf,main,2,11760000,0.00012407576217968196,1689292800000,1784073600000
intra_symbol,BNB,0,92876640000,0.9799098551605389,1689292800000,1784073600000
intra_symbol,BNB,1,1874880000,0.019781221513217866,1689292800000,1784073600000
intra_symbol,BNB,2,29280000,0.00030892332624328977,1689292800000,1784073600000
intra_symbol,BTC,0,92947380000,0.9806562088524258,1689292800000,1784073600000
intra_symbol,BTC,1,1670040000,0.017620024308720752,1689292800000,1784073600000
intra_symbol,BTC,2,163380000,0.0017237668388534386,1689292800000,1784073600000
intra_symbol,ETH,0,92093340000,0.9716455231439279,1689292800000,1784073600000
intra_symbol,ETH,1,2568240000,0.027096627164995443,1689292800000,1784073600000
intra_symbol,ETH,2,119220000,0.0012578496910766737,1689292800000,1784073600000
intra_symbol,SOL,0,91746540000,0.9679865542388332,1689292800000,1784073600000
intra_symbol,SOL,1,2919960000,0.030807505317532666,1689292800000,1784073600000
intra_symbol,SOL,2,114300000,0.0012059404436341537,1689292800000,1784073600000
intra_symbol,TRX,0,93545580000,0.9869676136939127,1689292800000,1784073600000
intra_symbol,TRX,1,1210260000,0.012769041831256963,1689292800000,1784073600000
intra_symbol,TRX,2,24960000,0.0002633444748303454,1689292800000,1784073600000
intra_symbol,XRP,0,91841820000,0.9689918211283298,1689292800000,1784073600000
intra_symbol,XRP,1,2816640000,0.029717411121239743,1689292800000,1784073600000
intra_symbol,XRP,2,122340000,0.0012907677504304669,1689292800000,1784073600000
wan108,1h_3sym,0,90911700000,0.9591784412032817,1689292800000,1784073600000
wan108,1h_3sym,1,3637680000,0.03837992504811101,1689292800000,1784073600000
wan108,1h_3sym,2,231420000,0.0024416337486073128,1689292800000,1784073600000
wan108,multitf_3sym,0,80565840000,0.8500227894257065,1689292800000,1784073600000
wan108,multitf_3sym,1,11844240000,0.12496454978223438,1689292800000,1784073600000
wan108,multitf_3sym,2,2117400000,0.02233996758837233,1689292800000,1784073600000
wan108,multitf_3sym,3,236760000,0.002497974273270536,1689292800000,1784073600000
wan108,multitf_3sym,4,14400000,0.00015192950470981463,1689292800000,1784073600000
wan108,multitf_3sym,5,2160000,2.2789425706472198e-05,1689292800000,1784073600000
