symbol,timeframe,variant,num_trades,num_wins,num_losses,win_rate,profit_factor,avg_win,avg_loss,avg_trade_return,total_return,max_drawdown,sharpe,eligible_setups,num_filled,fill_rate,num_penetrations
BTC/USDT:USDT,15m,A_close_closedbar,381,160,221,0.419948,0.590768,39.731318,-48.690415,-0.001495,-0.440357,0.468712,-37.842647,,,,
BTC/USDT:USDT,15m,B_zonelimit_realtime,565,239,326,0.423009,1.107914,91.302408,-60.416614,0.000374,0.212546,0.115016,8.617947,1924,567,0.294699,2
BTC/USDT:USDT,1d,A_close_closedbar,5,2,3,0.4,1.284639,606.992327,-315.000267,0.006285,0.026898,0.066968,2.182394,,,,
BTC/USDT:USDT,1d,B_zonelimit_realtime,8,3,5,0.375,1.250643,1426.689634,-684.458705,0.0202,0.085778,0.314398,2.438344,22,8,0.363636,0
BTC/USDT:USDT,1h,A_close_closedbar,102,59,43,0.578431,1.304598,104.910048,-110.337735,0.001422,0.144517,0.077577,9.465857,,,,
BTC/USDT:USDT,1h,B_zonelimit_realtime,146,68,78,0.465753,1.286463,169.963875,-115.179104,0.001754,0.257357,0.154747,8.333039,476,147,0.308824,0
BTC/USDT:USDT,4h,A_close_closedbar,25,8,17,0.32,0.333759,145.06197,-204.532108,-0.011185,-0.231655,0.28628,-11.56129,,,,
BTC/USDT:USDT,4h,B_zonelimit_realtime,42,18,24,0.428571,1.124173,303.028315,-202.167576,0.002088,0.060249,0.162255,2.520946,112,42,0.375,0
ETH/USDT:USDT,15m,A_close_closedbar,407,172,235,0.422604,0.540693,40.726628,-55.130059,-0.002164,-0.595058,0.595058,-38.972471,,,,
ETH/USDT:USDT,15m,B_zonelimit_realtime,561,231,330,0.411765,0.917906,86.638635,-66.071114,-0.000291,-0.178994,0.2906,-4.941122,1947,564,0.289676,1
ETH/USDT:USDT,1d,A_close_closedbar,9,1,8,0.111111,0.117945,529.536653,-561.213225,-0.047414,-0.396017,0.396017,-16.893704,,,,
ETH/USDT:USDT,1d,B_zonelimit_realtime,11,3,8,0.272727,0.767886,1132.358715,-552.991457,-0.004923,-0.102686,0.208236,-0.859324,22,11,0.5,0
ETH/USDT:USDT,1h,A_close_closedbar,113,50,63,0.442478,0.5131,90.676555,-140.256317,-0.004756,-0.430232,0.448543,-21.754253,,,,
ETH/USDT:USDT,1h,B_zonelimit_realtime,167,66,101,0.39521,0.761472,137.722087,-118.18766,-0.001822,-0.28473,0.362755,-8.874666,472,167,0.353814,0
ETH/USDT:USDT,4h,A_close_closedbar,27,8,19,0.296296,0.617759,309.674481,-211.068219,-0.007261,-0.15329,0.160562,-8.135882,,,,
ETH/USDT:USDT,4h,B_zonelimit_realtime,43,19,24,0.44186,1.77759,555.035305,-247.19026,0.009889,0.46131,0.146127,9.766295,108,43,0.398148,0
SOL/USDT:USDT,15m,A_close_closedbar,409,195,214,0.476773,0.91803,89.626052,-88.96072,-0.000306,-0.156051,0.254419,-3.853387,,,,
SOL/USDT:USDT,15m,B_zonelimit_realtime,601,254,347,0.422629,1.211998,230.779267,-139.379601,0.00141,1.025321,0.235989,11.358976,2000,601,0.3005,0
SOL/USDT:USDT,1d,A_close_closedbar,7,4,3,0.571429,0.322927,353.588358,-1459.930812,-0.040674,-0.296544,0.416516,-5.864976,,,,
SOL/USDT:USDT,1d,B_zonelimit_realtime,15,6,9,0.4,0.700263,1083.803724,-1031.806844,-0.014059,-0.278344,0.389484,-2.125678,26,15,0.576923,0
SOL/USDT:USDT,1h,A_close_closedbar,110,52,58,0.472727,0.790479,131.216801,-148.824571,-0.001563,-0.180855,0.347729,-6.54328,,,,
SOL/USDT:USDT,1h,B_zonelimit_realtime,158,61,97,0.386076,0.829289,211.850922,-160.650638,-0.001594,-0.266021,0.329539,-5.493494,483,161,0.333333,0
SOL/USDT:USDT,4h,A_close_closedbar,42,19,23,0.452381,0.895814,483.223244,-445.61094,-0.00084,-0.106781,0.310012,-0.539573,,,,
SOL/USDT:USDT,4h,B_zonelimit_realtime,56,21,35,0.375,1.656757,873.475794,-316.332115,0.013449,0.727137,0.287864,6.697275,118,57,0.483051,0
ALL,ALL,A_close_closedbar,1637,730,907,0.445938,0.695686,88.16832,-102.003449,-0.002035,,,,,,,
ALL,ALL,B_zonelimit_realtime,2373,989,1384,0.416772,1.103952,184.576321,-119.477413,0.000741,,,,7710,2383,0.309079,3
