symbol,timeframe,engine,axis,quantile,quantile_rank,axis_min,axis_max,n,win_rate,avg_r,profit_factor,total_return_sum
POOLED,ALL,A,relative_volume,Q1,1,0.39341471423759244,1.0171393107843307,47,0.40425531914893614,-0.061378659967504266,0.8611937893772809,-0.024143467709512437
POOLED,ALL,A,relative_volume,Q2,2,1.0188741326860928,1.4480727975791625,47,0.3829787234042553,-0.137589987184017,0.8234126997085558,-0.03075132409973374
POOLED,ALL,A,relative_volume,Q3,3,1.4640763571386892,2.0429515834210967,46,0.32608695652173914,-0.4015720378501162,0.5463548565121443,-0.13926446583578234
POOLED,ALL,A,relative_volume,Q4,4,2.0465226893574786,10.537697498482826,47,0.2765957446808511,-0.38420484640007513,0.5689048412873973,-0.28027627573479064
POOLED,ALL,A,volume_percentile,Q1,1,0.0,0.23809523809523808,47,0.3404255319148936,-0.21532894314429862,0.701490122167837,-0.11335354724627839
POOLED,ALL,A,volume_percentile,Q2,2,0.24390243902439024,0.5,48,0.3125,-0.5216976954568614,0.38663749072170633,-0.5903856376172381
POOLED,ALL,A,volume_percentile,Q3,3,0.5121951219512195,0.7560975609756098,45,0.37777777777777777,-0.02931855264353933,0.9260435883389107,-0.13427150837017918
POOLED,ALL,A,volume_percentile,Q4,4,0.7619047619047619,1.0,47,0.3617021276595745,-0.20000390126297282,0.7601007215999109,0.36357515985387645
POOLED,ALL,A,imbalance,Q1,1,0.02344947101506456,0.16583974819259428,47,0.3191489361702128,-0.5053648664322192,0.40001063174202217,-0.17589125321453494
POOLED,ALL,A,imbalance,Q2,2,0.16953115604354,0.27081817490092847,47,0.425531914893617,0.11964071230646346,1.0948231564193527,-0.013651982998887438
POOLED,ALL,A,imbalance,Q3,3,0.2720778655093844,0.3727234390970075,46,0.32608695652173914,-0.41059660493948164,0.5198522544368458,-0.07387878476066871
POOLED,ALL,A,imbalance,Q4,4,0.37310145022936064,0.9999926626718032,47,0.3191489361702128,-0.18861678440220622,0.7396901726552816,-0.21101351240572813
POOLED,ALL,B,relative_volume,Q1,1,0.39341471423759244,1.0575323438790243,74,0.2972972972972973,0.05387008065612399,1.044064213165783,-0.3525463827503199
POOLED,ALL,B,relative_volume,Q2,2,1.0577658332367819,1.4998139400517154,73,0.3698630136986301,0.38064803769423733,1.5728409502698883,1.0150481333314327
POOLED,ALL,B,relative_volume,Q3,3,1.5190257050339573,2.078031007711575,73,0.3150684931506849,0.005267577095751073,0.9930267103784602,-0.13325652689101805
POOLED,ALL,B,relative_volume,Q4,4,2.1075324704947342,10.537697498482826,73,0.3287671232876712,-0.0371243714216639,0.9262554757825685,0.06217084023784579
POOLED,ALL,B,volume_percentile,Q1,1,0.0,0.24242424242424243,74,0.2972972972972973,-0.03483643997077228,0.9551782791362436,-0.14322613197896628
POOLED,ALL,B,volume_percentile,Q2,2,0.2463768115942029,0.5,74,0.28378378378378377,-0.029098718923124402,0.9350271914385025,0.23336601782149216
POOLED,ALL,B,volume_percentile,Q3,3,0.5066666666666667,0.7575757575757576,72,0.2777777777777778,0.1380160599092757,1.1225468928748774,-0.01806320547276713
POOLED,ALL,B,volume_percentile,Q4,4,0.76,1.0,73,0.4520547945205479,0.33208482437152564,1.599895019475477,0.5193393835581818
POOLED,ALL,B,imbalance,Q1,1,0.03425311382056004,0.1720561127321319,74,0.25675675675675674,0.12121189179885117,1.105167134794195,0.09437512130681042
POOLED,ALL,B,imbalance,Q2,2,0.1733671457159415,0.2705952430466842,73,0.410958904109589,0.36267939291234363,1.5935968265887726,0.4628215449115198
POOLED,ALL,B,imbalance,Q3,3,0.27079148576396467,0.38204605958069404,73,0.2876712328767123,-0.13862417885565667,0.7988645392547973,-0.25636552865098194
POOLED,ALL,B,imbalance,Q4,4,0.3821560756427184,0.9999926626718032,73,0.3561643835616438,0.05647172760531153,1.0954453118789644,0.29058492636059274
