symbol,timeframe,segment,wan84_total_return,wan84_num_trades,wan84_p_value,wan84_significant,wan88_total_return,wan88_num_trades,wan88_p_value,wan88_significant
BTC/USDT:USDT,15m,IS,-0.2476787171734035,490,0.995,False,0.3434488941003754,421,0.05,True
BTC/USDT:USDT,15m,OOS,-0.0994536316268977,259,0.905,False,0.09336454411100785,233,0.25,False
BTC/USDT:USDT,1d,IS,-0.0401690441248749,4,0.75,False,-0.010585973808534618,1,1.0,False
BTC/USDT:USDT,1d,OOS,-0.0259634831585603,5,1.0,False,0.027513567145739763,7,0.81,False
BTC/USDT:USDT,1h,IS,0.0821607012667114,157,0.34,False,0.035476773400815544,131,0.115,False
BTC/USDT:USDT,1h,OOS,0.0500104490097459,92,0.595,False,0.12180139209631088,83,0.155,False
BTC/USDT:USDT,4h,IS,0.0334134020532601,43,0.85,False,0.0667695153124816,31,0.67,False
BTC/USDT:USDT,4h,OOS,-0.0788418499311308,21,0.95,False,-0.05645344669319584,19,0.9,False
ETH/USDT:USDT,15m,IS,-0.2853102270270823,554,0.675,False,0.13721228285756207,513,0.02,True
ETH/USDT:USDT,15m,OOS,0.0687859665797348,296,0.93,False,0.5446539280905308,284,0.04,True
ETH/USDT:USDT,1d,IS,0.0133218283289306,6,0.47,False,0.022609753444698982,5,1.0,False
ETH/USDT:USDT,1d,OOS,-0.0243838366798721,6,0.88,False,-0.006706446885225887,7,1.0,False
ETH/USDT:USDT,1h,IS,0.0098493394465209,155,0.87,False,0.16554634900370838,148,0.075,False
ETH/USDT:USDT,1h,OOS,0.2784241802519875,116,0.66,False,0.216215553851569,85,0.525,False
ETH/USDT:USDT,4h,IS,0.0430096806108531,40,0.87,False,0.050835802423045605,30,0.815,False
ETH/USDT:USDT,4h,OOS,0.0098348483827077,25,0.775,False,0.07566882458445943,20,0.09,False
SOL/USDT:USDT,15m,IS,-0.0347462391313911,644,0.81,False,0.8656988117971574,609,0.0,True
SOL/USDT:USDT,15m,OOS,-0.1803469598803845,304,0.975,False,0.16580043667249464,291,0.32,False
SOL/USDT:USDT,1d,IS,-0.0010916662357389,5,0.47,False,-0.0012129359407110315,5,0.1,False
SOL/USDT:USDT,1d,OOS,-0.0257524909454212,5,0.475,False,-0.02001887621423939,2,1.0,False
SOL/USDT:USDT,1h,IS,-0.0974686988413639,175,1.0,False,0.2856327300052337,157,0.085,False
SOL/USDT:USDT,1h,OOS,-0.0768435180495169,95,0.77,False,0.05557517526105512,72,0.12,False
SOL/USDT:USDT,4h,IS,0.0799785578365772,57,0.7,False,0.03296811339906908,40,0.615,False
SOL/USDT:USDT,4h,OOS,-0.0161229469021591,18,0.57,False,0.1040938587400913,19,0.055,False
