timeframe,level,mean_return,worst_symbol_return,positive_symbols,num_symbols,mean_win_rate,mean_mdd,mean_fill_rate,mean_trades
15m,baseline,0.15795542234220228,0.07230950827450469,3,3,0.4917683668678394,0.14538438019639718,0.2849854244561925,461.0
15m,pen_1bp,0.13038186492716444,0.04085364662494267,3,3,0.4883684201111052,0.14858527944395877,0.2822365966061655,457.3333333333333
15m,pen_5bp,0.013405538312706569,-0.054296435779750206,2,3,0.4719100266869996,0.17427832637001475,0.2692208535380045,439.3333333333333
15m,drop_25,0.04945123716780755,0.03781487393811873,3,3,0.4795980532731199,0.15765664079036895,0.2136898696966469,368.59999999999997
15m,drop_50,0.0014086414745017224,-0.03245553880625866,2,3,0.47181549173060894,0.15627141971615807,0.14297120408098365,264.53333333333336
15m,pen_5bp_drop_50,-0.05764669034152403,-0.07341808320890271,0,3,0.45436863940039274,0.17208365454127791,0.13554168627487295,252.5333333333333
1h,baseline,0.09063336163926833,0.05389621161239938,3,3,0.47920979046373974,0.10088215668358137,0.3111125368537548,137.0
1h,pen_1bp,0.08619692177599488,0.053935278509394814,3,3,0.47801074969635365,0.10088215668358137,0.31060050408365747,136.66666666666666
1h,pen_5bp,0.05516866113379711,0.009857222219188952,3,3,0.46726843722563655,0.11374808709092703,0.3025226962896163,132.66666666666666
1h,drop_25,0.06455829253369665,0.04985041236522116,3,3,0.4750862171093284,0.09345037305922865,0.23159124308868265,108.86666666666667
1h,drop_50,0.03586294736487297,0.016137675145644244,3,3,0.46769806347585874,0.08302893899113141,0.15869906320345017,79.73333333333333
1h,pen_5bp_drop_50,-0.01704846739346672,-0.02725550822000012,0,3,0.43923632697369674,0.10365296680352266,0.15493997723033245,77.8
